Row ID,Order ID,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Cost Per Unit,Profit Margin,Order Month,Order Day,Order Year
93,CA-2015-149587,Second Class,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,0.0,6.2208,3.3696000000000006,47.99999999999999,January,Saturday,2015
94,CA-2015-149587,Second Class,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0.0,16.5354,12.268200000000002,30.999999999999993,January,Saturday,2015
95,CA-2015-149587,Second Class,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0.0,16.1504,8.4048,49.00000000000001,January,Saturday,2015
96,US-2017-109484,Standard Class,RB-19705,Roger Barcio,Home Office,Portland,Oregon,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788,9.47,-66.66666666666666,November,Monday,2017
97,CA-2017-161018,Second Class,PN-18775,Parhena Norris,Home Office,New York City,New York,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.0,40.5426,7.9982,42.0,November,Thursday,2017
98,CA-2017-157833,First Class,KD-16345,Katherine Ducich,Consumer,San Francisco,California,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592,11.117600000000001,35.0,June,Saturday,2017
99,CA-2016-149223,Standard Class,ER-13855,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.0,22.5852,9.2158,29.000000000000004,September,Tuesday,2016
100,CA-2016-158568,Standard Class,RB-19465,Rick Bensley,Home Office,Chicago,Illinois,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184,6.000799999999999,35.0,August,Monday,2016
101,CA-2016-158568,Standard Class,RB-19465,Rick Bensley,Home Office,Chicago,Illinois,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973,35.591100000000004,-11.25,August,Monday,2016
102,CA-2016-158568,Standard Class,RB-19465,Rick Bensley,Home Office,Chicago,Illinois,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396,1.6092000000000002,-170.0,August,Monday,2016
103,CA-2016-129903,Second Class,GZ-14470,Gary Zandusky,Consumer,Rochester,Minnesota,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0.0,11.7208,3.0498000000000003,49.0,December,Thursday,2016
104,US-2015-156867,Standard Class,LC-16870,Lena Cacioppo,Consumer,Aurora,Colorado,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758,44.2953,-11.250000000000002,November,Friday,2015
105,US-2015-156867,Standard Class,LC-16870,Lena Cacioppo,Consumer,Aurora,Colorado,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385,35.399499999999996,-3.75,November,Friday,2015
